title,price,date,time,link
Teclado gamer Redragon Kumara K552 QWERTY Outemu Red português Brasil cor preto com luz vermelho,R$249,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-redragon-kumara-k552-qwerty-outemu-red-portugus-brasil-cor-preto-com-luz-vermelho/p/MLB15104680?pdp_filters=category:MLB418472#searchVariation=MLB15104680&position=11&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado gamer Redragon Kumara K552 QWERTY Outemu Blue português Brasil cor preto com luz vermelho,R$240,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-redragon-kumara-k552-qwerty-outemu-blue-portugus-brasil-cor-preto-com-luz-vermelho/p/MLB8916222?pdp_filters=category:MLB418472#searchVariation=MLB8916222&position=12&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado Matricial 3x4 12botões Rígido C/nfe,R$29.99,09/05/2023,00:39:36,https://produto.mercadolivre.com.br/MLB-1843162814-teclado-matricial-3x4-12botoes-rigido-cnfe-_JM#position=49&search_layout=grid&type=item&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado gamer Redragon Fizz K617 QWERTY Blue português Brasil cor preto com luz RGB,R$205,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-redragon-fizz-k617-qwerty-blue-portugus-brasil-cor-preto-com-luz-rgb/p/MLB19487640?pdp_filters=category:MLB418472#searchVariation=MLB19487640&position=13&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado Lakshmi Laranja+cinza+preto K606 Switch Marrom C/nfe,R$259.90,09/05/2023,00:39:36,https://produto.mercadolivre.com.br/MLB-3287765485-teclado-lakshmi-laranjacinzapreto-k606-switch-marrom-cnfe-_JM#position=50&search_layout=grid&type=item&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado Mecânico Dual Shock Rainbow Switch Blue - Gshield,R$207,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-mecnico-dual-shock-rainbow-switch-blue-gshield/p/MLB20722253?pdp_filters=category:MLB418472#searchVariation=MLB20722253&position=14&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado Gamer Mecânico Profissional Slin Swith Blue Pc Ps4,R$185,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-mecnico-profissional-slin-swith-blue-pc-ps4/p/MLB21641339?pdp_filters=category:MLB418472#searchVariation=MLB21641339&position=15&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado gamer Multilaser TC160 QWERTY português Brasil cor preto,R$36.99,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-multilaser-tc160-qwerty-portugus-brasil-cor-preto/p/MLB19609380?pdp_filters=category:MLB418472#searchVariation=MLB19609380&position=19&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado Gamer Semi Mecanico Barato Iluminado Rgb Ptbr Brinde,R$59.90,09/05/2023,00:39:36,https://produto.mercadolivre.com.br/MLB-3255426957-teclado-gamer-semi-mecanico-barato-iluminado-rgb-ptbr-brinde-_JM#position=51&search_layout=grid&type=item&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado gamer Redragon Surara Pro K582RGB-PRO QWERTY Redragon Optical Brown português Brasil cor preto com luz RGB,R$377.89,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-redragon-surara-pro-k582rgb-pro-qwerty-redragon-optical-brown-portugus-brasil-cor-preto-com-luz-rgb/p/MLB17452020?pdp_filters=category:MLB418472#searchVariation=MLB17452020&position=20&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
